来源,机构,专业组,细项/项目,轮次,NCCL编码,NCCL名称,测定日期,上报截止日期,备注
014,卫健委,糖化,HbA1c,第1次,NCCL-C-11,糖化血红蛋白A1c,,2026-01-23,
014,卫健委,心肌标志物,肌酸激酶-MB、肌红蛋白、肌钙蛋白-I、同型半胱氨酸,第1次,NCCL-C-03,心肌标志物,2026-04-24,2026-05-08,
014,卫健委,心肌标志物,肌酸激酶-MB、肌红蛋白、肌钙蛋白-I、同型半胱氨酸,第2次,NCCL-C-03,心肌标志物,2026-09-28,2026-10-12,
014,卫健委,脂类,胆固醇、甘油三酯、高密度脂蛋白胆固醇、低密度脂蛋白胆固醇、脂蛋白（a）、载脂蛋白A1、载脂蛋白B,第1次,NCCL-C-04,脂类A,2026-04-24,2026-05-08,
014,卫健委,脂类,胆固醇、甘油三酯、高密度脂蛋白胆固醇、低密度脂蛋白胆固醇、脂蛋白（a）、载脂蛋白A1、载脂蛋白B,第2次,NCCL-C-04,脂类A,2026-07-24,2026-08-07,
014,卫健委,血气,Ph、pCO2、PO2、钾、钠、氯、离子钙,第1次,NCCL-C-05,血气,2026-04-09,2026-04-23,
014,卫健委,血气,Ph、pCO2、PO2、钾、钠、氯、离子钙,第2次,NCCL-C-05,血气,2026-06-26,2026-07-16,
014,卫健委,血气,Ph、pCO2、PO2、钾、钠、氯、离子钙,第3次,NCCL-C-05,血气,2026-10-09,2026-10-23,
014,卫健委,BNP,BNP,第1次,NCCL-C-12,心衰标志物,2026-05-13,2026-05-28,
014,卫健委,尿定量生化,具体项目：钾、钠、氯、钙、镁、磷、葡萄糖、尿素、肌酐、尿酸、总蛋白、微量白蛋白、淀粉酶,第1次,NCCL-C-13,尿液定量生化,2026-05-14,2026-05-28,
014,卫健委,尿蛋白标志物,尿α1微球蛋白、尿转铁蛋白、尿IgG,第1次,NCCL-C-21,尿液蛋白标志物Ⅰ,2026-04-09,2026-04-23,
014,卫健委,尿蛋白标志物,尿α1微球蛋白、尿转铁蛋白、尿IgG,第2次,NCCL-C-21,尿液蛋白标志物Ⅰ,2026-07-30,2026-08-13,
014,卫健委,SAA,SAA,第1次,NCCL-C-25,血清淀粉样蛋白A,2026-04-09,2026-04-23,
014,卫健委,SAA,SAA,第2次,NCCL-C-25,血清淀粉样蛋白A,2026-07-30,2026-08-13,
014,卫健委,CYS-C,Cys-C,第1次,NCCL-C-14,半胱氨酸蛋白酶抑 制剂C,2026-04-09,2026-04-23,
014,卫健委,PCT,PCT,第1次,NCCL-C-32,血清降钙素原,2026-04-09,2026-04-23,
014,卫健委,PCT,PCT,第2次,NCCL-C-32,血清降钙素原,2026-07-30,2026-08-13,
014,卫健委,脑脊液生化,葡萄糖、氯、微量总蛋白,第1次,NCCL-C-28,脑脊液,2026-03-26,2026-04-13,
014,卫健委,凝血,PT、INR、APTT、Fbg、TT,第1次,NCCL-H-02,凝血试验,2026-06-12,2026-06-22,
014,卫健委,凝血,PT、INR、APTT、Fbg、TT,第2次,NCCL-H-02,凝血试验,2026-09-03,2026-09-10,
014,卫健委,凝血因子,FXIII,第1次,NCCL-H-12,凝血因子检测,2026-06-05,2026-06-12,
014,卫健委,凝血因子,FXIII,第2次,NCCL-H-12,凝血因子检测,2026-09-04,2026-09-11,
014,卫健委,DD FDP,DD、FDP,第1次,NCCL-H-13,D- 二聚体检测,2026-06-05,2026-06-12,
014,卫健委,DD FDP,DD、FDP,第2次,NCCL-H-13,D- 二聚体检测,2026-09-04,2026-09-11,
014,卫健委,常规化学2,总胆汁酸、腺苷脱氨酶、β-羟丁酸、碳酸氢根、乳酸,第1次,NCCL-C-33,常规化学B,2026-03-05,2026-03-12,
014,卫健委,常规化学2,总胆汁酸、腺苷脱氨酶、β-羟丁酸、碳酸氢根、乳酸,第2次,NCCL-C-33,常规化学B,2026-08-28,2026-09-11,
014,卫健委,常规化学A,钾、钠、氯、钙、磷、血糖、尿素、尿酸、肌酐、总蛋白、白蛋白、总胆固醇、甘油三脂、总胆红素、丙氨酸氨基转移酶、天门冬氨酸氨基转移酶、碱性磷酸酶、淀粉酶、肌酸激酶、乳酸脱氢酶、γ-谷氨酸氨基转移酶、镁、直接胆红素、铁、总铁结合力、胆碱酯酶、脂肪酶,第1次,NCCL-C-01,常规化学A,2026-03-05,2026-03-19,
