样本号,分析物,测定值,单位
202621,TT3,2.61,nmol/L
202621,TT4,147.01,nmol/L
202621,FT3,6.36,pmol/L
202621,FT4,17.85,pmol/L
202621,TSH,3.053,mIU/L
202621,B12,223,pmol/L
202621,叶酸,7.17,nmol/L
202621,孕酮,7.48,nmol/L
202621,雌二醇,221.9,pmol/L
202621,PTH,136.6,pmol/L
202621,皮质醇,16.679,nmol/L
202621,胰岛素,31.28,pmol/L
202621,C肽,4.7,nmol/L
202622,TT3,3.79,nmol/L
202622,TT4,189.45,nmol/L
202622,FT3,9.37,pmol/L
202622,FT4,20.25,pmol/L
202622,TSH,10.505,mIU/L
202622,B12,243,pmol/L
202622,叶酸,9.37,nmol/L
202622,孕酮,11.9,nmol/L
202622,雌二醇,367.76,pmol/L
202622,PTH,285.5,pmol/L
202622,皮质醇,22.016,nmol/L
202622,胰岛素,62.66,pmol/L
202622,C肽,7.3,nmol/L
202623,TT3,5.71,nmol/L
202623,TT4,266.4,nmol/L
202623,FT3,16.73,pmol/L
202623,FT4,40.1,pmol/L
202623,TSH,24.617,mIU/L
202623,B12,366,pmol/L
202623,叶酸,15.95,nmol/L
202623,孕酮,23.67,nmol/L
202623,雌二醇,717.24,pmol/L
202623,PTH,791.5,pmol/L
202623,皮质醇,43.883,nmol/L
202623,胰岛素,96.26,pmol/L
202623,C肽,12.45,nmol/L
202624,TT3,4.72,nmol/L
202624,TT4,234.51,nmol/L
202624,FT3,13.05,pmol/L
202624,FT4,28.69,pmol/L
202624,TSH,15.67,mIU/L
202624,B12,308,pmol/L
202624,叶酸,12.66,nmol/L
202624,孕酮,15.63,nmol/L
202624,雌二醇,495.87,pmol/L
202624,PTH,433.3,pmol/L
202624,皮质醇,28.12,nmol/L
202624,胰岛素,68.22,pmol/L
202624,C肽,10.21,nmol/L
202625,TT3,1.4,nmol/L
202625,TT4,124.45,nmol/L
202625,FT3,3.94,pmol/L
202625,FT4,15.04,pmol/L
202625,TSH,0.937,mIU/L
202625,B12,172,pmol/L
202625,叶酸,6.2,nmol/L
202625,孕酮,2.15,nmol/L
202625,雌二醇,135.85,pmol/L
202625,PTH,70.4,pmol/L
202625,皮质醇,9.917,nmol/L
202625,胰岛素,17.23,pmol/L
202625,C肽,2.31,nmol/L
